TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2021-11-11 00:59:19.737,1.242979388953857,0.0006337761047849185,0.7958076008083422,0,0.9611629672212746,-0.1744089865795834,0.09446889109470165,0,0.9955422054904595,0.5257025434449915,0.3191138451853675,0,0.9792535714763785,0.8577328875508914,0.4700417777840686,0,0.9055008528312576,0.589861318714055,0.1720132182454382,0,854.2124542124542,799.4139194139194,789.7435897435897,1100.805860805861,757.1062271062272,-0.185303,0.080872,0.984863,5.443115,-4.972076,-1.869202,1,1,1,1,1,40.000000
2021-11-11 00:59:20.522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-11-11 00:59:20.595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2021-11-11 00:59:20.738,0.8494247444517223,0.7933097398740331,0.8846756815962712,0,0.872296950941484,0.5648773153946365,0.5717404907870158,0,0.9209078144382615,0.7664500122969164,0.7912810445524927,0,1.111733993281959,0.8904898822212428,0.4294675658780892,0,0.8285021656741283,0.8962713607431227,0.08508342930065116,0,920.6959706959707,844.1391941391942,791.3553113553114,1230.14652014652,697.0695970695971,-0.248291,0.083252,0.979858,4.284210,2.452393,-0.770111,1,1,1,1,1,40.000000
2021-11-11 00:59:20.776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-11-11 00:59:21.193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-11-11 00:59:21.702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-11-11 00:59:21.702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2021-11-11 00:59:21.737,0.8798463820873045,1.15070797494674,1.119266616462395,0,0.4807763067843899,0.9176901129188184,0.87831215273593,0,0.7458218046133402,0.7886202060307563,0.8656323776347467,0,1.187444550855126,1.168998690360327,0.6504684672898304,0,0.9456745425353212,1.027150600397959,0.2898149915313398,0,846.1538461538462,801.8315018315019,789.3406593406594,1236.996336996337,870.7326007326008,-0.408875,0.197083,0.888550,5.944061,-7.738495,2.841187,1,1,1,1,1,40.000000
2021-11-11 00:59:22.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-11-11 00:59:22.528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-11-11 00:59:22.601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2021-11-11 00:59:22.737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-11-11 00:59:22.751,0.8798463820873045,0.3050449930055545,0.5733974970303999,0,0.4807763067843899,-0.1394037015201046,-0.007644458877564155,0,0.7458218046133402,0.4405003347353447,0.5718329895515231,0,1.187444550855126,1.307463198845452,0.7163770268135721,0,0.9456745425353212,0.8499741301060824,0.5484656636042072,0,705.1282051282052,777.2527472527473,816.7399267399268,917.0695970695971,875.1648351648352,-0.155273,0.361206,0.933350,16.314392,25.166931,-14.325562,1,1,1,1,1,40.000000
2021-11-11 00:59:22.946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-11-11 00:59:23.043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2021-11-11 00:59:23.208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-11-11 00:59:23.459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-11-11 00:59:23.643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-11-11 00:59:23.745,0.8798463820873045,0.4610606503837899,0.9582560742229255,0,0.4807763067843899,-0.05739586862106743,0.2542614520063003,0,0.7458218046133402,0.4047720329367732,0.5762314010487354,0,1.187444550855126,1.193734583842362,0.9008571165262061,0,0.9456745425353212,0.8485863838829272,0.6341290072355148,0,1001.282051282051,830.8424908424909,798.6080586080586,1172.930402930403,728.4981684981685,-0.173889,0.342529,0.934692,5.121613,-9.846954,2.243042,1,2,1,1,2,40.000000
2021-11-11 00:59:24.149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-11-11 00:59:24.735,0.8798463820873045,0.4610606503837899,1.319808710171566,0,0.4807763067843899,-0.05739586862106743,0.6934516955035858,0,0.7458218046133402,0.4047720329367732,0.6549124480417615,0,1.187444550855126,1.193734583842362,0.7817896287006502,0,0.9456745425353212,0.8485863838829272,0.7102035828613618,0,914.6520146520147,795.3846153846154,787.3260073260074,1222.087912087912,904.981684981685,-0.214783,0.338013,0.920837,2.833710,-3.364563,-1.607513,1,2,1,1,2,40.000000
2021-11-11 00:59:25.187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-11-11 00:59:25.395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-11-11 00:59:25.395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2021-11-11 00:59:25.736,1.056687986301097,0.9586631344399495,0.860610209660537,0,0.8505158994757317,0.2503110463903703,0.3416171919946693,0,0.9571268394898034,0.3451695184252566,0.2743812099671801,0,1.490938261771579,1.224278078354668,0.5327577345474813,0,1.421143355050211,1.212971087551575,0.6245917629228357,0,926.3369963369963,802.6373626373627,794.5787545787546,1384.871794871795,809.8901098901099,-0.260742,0.273254,0.927856,3.372040,-0.321503,-2.788849,1,1,1,1,1,40.000000
2021-11-11 00:59:25.991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-11-11 00:59:26.084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2021-11-11 00:59:26.179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-11-11 00:59:26.427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2021-11-11 00:59:26.740,1.056687986301097,1.486022958307137,1.322636117043829,0,0.8505158994757317,0.4316402578859616,0.5903615941706291,0,0.9571268394898034,0.8623303288269898,0.7906779617377239,0,1.490938261771579,1.380915685914004,0.6947657205909372,0,1.421143355050211,1.412641610268678,0.8319295816156439,0,875.5677655677656,838.4981684981685,774.4322344322345,1213.626373626374,784.1025641025641,-0.312256,0.214233,0.918396,2.003784,-13.189087,-12.605896,1,1,1,1,2,40.000000
2021-11-11 00:59:26.865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-11-11 00:59:27.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2021-11-11 00:59:27.203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-11-11 00:59:27.495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2021-11-11 00:59:27.717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-11-11 00:59:27.736,1.056687986301097,1.42099920935628,0.8229698947387687,0,0.8505158994757317,0.5865978095761876,0.5942527522836257,0,0.9571268394898034,0.8623303288269898,0.9573069220356305,0,1.490938261771579,1.4483101180126,0.6673306204321048,0,1.421143355050211,1.405622572558564,0.5528808990224564,0,888.8644688644689,764.7619047619048,790.5494505494506,1499.70695970696,805.4578754578755,-0.210693,0.170288,0.982422,6.280518,-7.162781,-5.757141,1,1,1,1,2,40.000000
2021-11-11 00:59:27.990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-11-11 00:59:28.236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-11-11 00:59:28.621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2021-11-11 00:59:28.736,1.056687986301097,0.4119099696828325,1.062960731806827,0,0.8505158994757317,-0.03553573877736734,0.3484338372167609,0,0.9571268394898034,0.7185637203909795,0.9068555511820652,0,1.490938261771579,1.167927374652216,0.7995943812233607,0,1.421143355050211,1.044907072846095,0.8051032914715498,0,866.7032967032967,807.8754578754579,841.7216117216118,1305.494505494506,744.6153846153846,-0.222900,0.152527,0.955078,6.871185,-4.658051,-2.093506,1,2,1,1,2,40.000000
2021-11-11 00:59:28.845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-11-11 00:59:29.324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2021-11-11 00:59:29.738,1.056687986301097,0.2296762746261959,1.640884213432224,0,0.8505158994757317,-0.06396792348859748,0.4866017973898972,0,0.9571268394898034,0.7889464399152765,0.4707487446886148,0,1.490938261771579,1.255217117083067,1.063607945269783,0,1.421143355050211,1.09552581736891,1.123539671770486,0,830.0366300366301,797.3992673992674,765.9706959706959,1270.03663003663,863.8827838827839,-0.208069,0.195557,0.970520,7.603912,-5.368347,-1.936493,1,2,1,1,2,40.000000
2021-11-11 00:59:29.909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-11-11 00:59:30.248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-11-11 00:59:30.430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-11-11 00:59:30.736,1.056687986301097,0.2934902808666018,1.340255883040091,0,0.8505158994757317,0.1609713336595541,0.3498782905336179,0,0.9571268394898034,0.887852168340427,0.4546478468874747,0,1.490938261771579,1.386850207486008,1.067917161627933,0,1.421143355050211,1.347732981065502,1.091499186278794,0,925.5311355311355,761.5384615384615,805.4578754578755,1582.710622710623,962.1978021978023,-0.217407,0.208374,0.972107,5.353394,-6.138458,-2.302856,1,2,1,1,2,40.000000
2021-11-11 00:59:31.290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2021-11-11 00:59:31.736,0.6666341558733025,0.4643606450000736,0.6776747181306609,0,0.3943392997642438,0.09746752766615746,0.2690381228653347,0,0.8303268836800315,0.8916679413017234,0.4370328052101935,0,1.337733756284121,1.234062838180273,1.064646910350357,0,1.366142962072855,1.41231226137569,1.125713006797278,0,875.1648351648352,789.3406593406594,780.4761904761905,1108.058608058608,780.8791208791209,-0.219849,0.193665,0.962585,4.456177,-3.237457,-1.158905,1,1,1,1,2,40.000000
2021-11-11 00:59:32.085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
